artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,popularity,result
The Weeknd,The Hills - RL Grime Remix,0.524,0.904,0.0,-2.614,0.0,0.0544,0.103,0.201,0.165,0.413,139.976,audio_features,4jmfX9D0GoHnkSGDwPN7HB,spotify:track:4jmfX9D0GoHnkSGDwPN7HB,https://api.spotify.com/v1/tracks/4jmfX9D0GoHnkSGDwPN7HB,https://api.spotify.com/v1/audio-analysis/4jmfX9D0GoHnkSGDwPN7HB,271067.0,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",51.0,0.0
OneRepublic,Love Runs Out - Grabbitz Remix,0.658,0.852,7.0,-4.55,0.0,0.0407,0.118,0.0,0.155,0.453,124.012,audio_features,4duj008kjsbx3PmSQBxhhX,spotify:track:4duj008kjsbx3PmSQBxhhX,https://api.spotify.com/v1/tracks/4duj008kjsbx3PmSQBxhhX,https://api.spotify.com/v1/audio-analysis/4duj008kjsbx3PmSQBxhhX,199933.0,4.0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",35.0,0.0
Rudimental,Lay It All on Me (feat. Ed Sheeran) - Cash Cash Remix,0.608,0.923,3.0,-3.381,0.0,0.112,0.00714,1.35e-06,0.204,0.357,127.078,audio_features,1e8GXvb5OSPXhY1eMUBxDn,spotify:track:1e8GXvb5OSPXhY1eMUBxDn,https://api.spotify.com/v1/tracks/1e8GXvb5OSPXhY1eMUBxDn,https://api.spotify.com/v1/audio-analysis/1e8GXvb5OSPXhY1eMUBxDn,303425.0,4.0,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",17.0,0.0
Lost Frequencies,Are You with Me - Dimaro Radio Edit,0.643,0.891,5.0,-3.908,0.0,0.0925,0.0049,0.00165,0.308,0.316,128.047,audio_features,2UN6a0lRIU0g1zfLQ0rp6p,spotify:track:2UN6a0lRIU0g1zfLQ0rp6p,https://api.spotify.com/v1/tracks/2UN6a0lRIU0g1zfLQ0rp6p,https://api.spotify.com/v1/audio-analysis/2UN6a0lRIU0g1zfLQ0rp6p,214096.0,4.0,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",23.0,0.0
Avicii,Waiting For Love - Carnage & Headhunterz Remix,0.726,0.883,6.0,-3.486,0.0,0.0797,0.00617,0.000139,0.201,0.444,127.977,audio_features,6ZM4JtlEM2xraDsOKT0olZ,spotify:track:6ZM4JtlEM2xraDsOKT0olZ,https://api.spotify.com/v1/tracks/6ZM4JtlEM2xraDsOKT0olZ,https://api.spotify.com/v1/audio-analysis/6ZM4JtlEM2xraDsOKT0olZ,292500.0,4.0,"['dance pop', 'edm', 'pop', 'pop dance']",40.0,0.0
Felix Jaehn,Ain't Nobody (Loves Me Better) - The Rooftop Boys Remix / Extended Mix,0.732,0.869,9.0,-5.068,0.0,0.0436,0.0526,0.00207,0.0514,0.615,118.021,audio_features,3ApRkwznozHAagMvSLEuPi,spotify:track:3ApRkwznozHAagMvSLEuPi,https://api.spotify.com/v1/tracks/3ApRkwznozHAagMvSLEuPi,https://api.spotify.com/v1/audio-analysis/3ApRkwznozHAagMvSLEuPi,248760.0,4.0,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop rap', 'tropical house']",32.0,0.0
Calvin Harris,Outside (Oliver Heldens Remix) (feat. Ellie Goulding),0.664,0.896,2.0,-3.148,0.0,0.0355,0.0205,0.000252,0.341,0.722,125.992,audio_features,0Ql116aOo946Ru9CSr5Xqg,spotify:track:0Ql116aOo946Ru9CSr5Xqg,https://api.spotify.com/v1/tracks/0Ql116aOo946Ru9CSr5Xqg,https://api.spotify.com/v1/audio-analysis/0Ql116aOo946Ru9CSr5Xqg,295293.0,4.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",47.0,0.0
Rune RK,Calabria - Firebeatz Remix,0.636,0.879,10.0,-2.862,1.0,0.0702,0.000732,0.446,0.324,0.395,128.004,audio_features,0ttPiazh17aXIo5NIckHES,spotify:track:0ttPiazh17aXIo5NIckHES,https://api.spotify.com/v1/tracks/0ttPiazh17aXIo5NIckHES,https://api.spotify.com/v1/audio-analysis/0ttPiazh17aXIo5NIckHES,221250.0,4.0,"['dakke dak', 'danish electronic']",58.0,0.0
Tove Lo,Habits (Stay High) - The Chainsmokers Radio Edit,0.678,0.825,10.0,-5.923,1.0,0.0367,0.00422,0.00235,0.131,0.0388,128.018,audio_features,3XksWoRLRItcWOXB2iOh32,spotify:track:3XksWoRLRItcWOXB2iOh32,https://api.spotify.com/v1/tracks/3XksWoRLRItcWOXB2iOh32,https://api.spotify.com/v1/audio-analysis/3XksWoRLRItcWOXB2iOh32,264920.0,4.0,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",55.0,0.0
Ed Sheeran,Don't - Don Diablo Remix,0.69,0.948,5.0,-2.587,0.0,0.0361,0.0112,0.148,0.275,0.378,125.99,audio_features,2B7YyjVl7dmgvnOhdZefqV,spotify:track:2B7YyjVl7dmgvnOhdZefqV,https://api.spotify.com/v1/tracks/2B7YyjVl7dmgvnOhdZefqV,https://api.spotify.com/v1/audio-analysis/2B7YyjVl7dmgvnOhdZefqV,249737.0,4.0,"['pop', 'uk pop']",49.0,0.0
