artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Osvaldo,Embers in the Dark,0.617,0.29,11,-12.327,0,0.0322,0.508,0.855,0.106,0.329,59.999,audio_features,1fvMkmLfPNJ98Gp0NtOGXm,spotify:track:1fvMkmLfPNJ98Gp0NtOGXm,https://api.spotify.com/v1/tracks/1fvMkmLfPNJ98Gp0NtOGXm,https://api.spotify.com/v1/audio-analysis/1fvMkmLfPNJ98Gp0NtOGXm,154125,4
Yasper,Captain Calvin,0.688,0.233,10,-10.74,1,0.0535,0.759,0.48,0.391,0.277,90.017,audio_features,0ki0dCxzICgdQyaIc0Zd0d,spotify:track:0ki0dCxzICgdQyaIc0Zd0d,https://api.spotify.com/v1/tracks/0ki0dCxzICgdQyaIc0Zd0d,https://api.spotify.com/v1/audio-analysis/0ki0dCxzICgdQyaIc0Zd0d,160000,4
Strehlow,Mila Coolness,0.802,0.312,1,-15.096,0,0.0701,0.915,0.902,0.0933,0.251,135.035,audio_features,6LdUorFxQkZVV7oZhxq4qO,spotify:track:6LdUorFxQkZVV7oZhxq4qO,https://api.spotify.com/v1/tracks/6LdUorFxQkZVV7oZhxq4qO,https://api.spotify.com/v1/audio-analysis/6LdUorFxQkZVV7oZhxq4qO,115562,4
Monma,Potion,0.766,0.111,9,-10.525,0,0.546,0.345,0.904,0.0957,0.485,81.952,audio_features,5mcVVEAFSp07er8dDpKcIJ,spotify:track:5mcVVEAFSp07er8dDpKcIJ,https://api.spotify.com/v1/tracks/5mcVVEAFSp07er8dDpKcIJ,https://api.spotify.com/v1/audio-analysis/5mcVVEAFSp07er8dDpKcIJ,123000,4
Sofasound,With all I am,0.649,0.387,6,-13.192,1,0.0613,0.46,0.844,0.522,0.188,114.315,audio_features,0w9RPfX25azFl1RWEnIZ3W,spotify:track:0w9RPfX25azFl1RWEnIZ3W,https://api.spotify.com/v1/tracks/0w9RPfX25azFl1RWEnIZ3W,https://api.spotify.com/v1/audio-analysis/0w9RPfX25azFl1RWEnIZ3W,225437,4
Leavv,Candle,0.637,0.0437,10,-14.972,0,0.146,0.929,0.847,0.109,0.18,83.041,audio_features,5LM5UCsc4lrtcsGHS8NulX,spotify:track:5LM5UCsc4lrtcsGHS8NulX,https://api.spotify.com/v1/tracks/5LM5UCsc4lrtcsGHS8NulX,https://api.spotify.com/v1/audio-analysis/5LM5UCsc4lrtcsGHS8NulX,144500,4
Harris Cole,larkspur,0.495,0.102,3,-12.072,1,0.0697,0.766,0.907,0.0723,0.199,141.168,audio_features,6Ft1EN8s8xROpDkT8LXvTC,spotify:track:6Ft1EN8s8xROpDkT8LXvTC,https://api.spotify.com/v1/tracks/6Ft1EN8s8xROpDkT8LXvTC,https://api.spotify.com/v1/audio-analysis/6Ft1EN8s8xROpDkT8LXvTC,191875,4
invention_,snowluv,0.529,0.22,0,-17.713,1,0.035,0.865,0.609,0.171,0.382,73.072,audio_features,5H2UrIYb1iYY5zzlN2dHXF,spotify:track:5H2UrIYb1iYY5zzlN2dHXF,https://api.spotify.com/v1/tracks/5H2UrIYb1iYY5zzlN2dHXF,https://api.spotify.com/v1/audio-analysis/5H2UrIYb1iYY5zzlN2dHXF,160000,4
mommy,takoyaki promenade,0.747,0.203,0,-15.52,1,0.29,0.496,0.91,0.116,0.486,77.37,audio_features,2dYgq9aSeTlMnonee6SxEP,spotify:track:2dYgq9aSeTlMnonee6SxEP,https://api.spotify.com/v1/tracks/2dYgq9aSeTlMnonee6SxEP,https://api.spotify.com/v1/audio-analysis/2dYgq9aSeTlMnonee6SxEP,96000,4
A L E X,I need to paint my walls,0.779,0.288,0,-11.875,1,0.0551,0.816,0.903,0.108,0.164,134.992,audio_features,7EnhGSOY5RbeIkFaoxiHZ2,spotify:track:7EnhGSOY5RbeIkFaoxiHZ2,https://api.spotify.com/v1/tracks/7EnhGSOY5RbeIkFaoxiHZ2,https://api.spotify.com/v1/audio-analysis/7EnhGSOY5RbeIkFaoxiHZ2,163500,4
Aso,Rainy Days,0.629,0.0584,6,-13.417,1,0.0457,0.835,0.925,0.0431,0.381,114.229,audio_features,4UgG8eP1CUYvp4vxoThlF0,spotify:track:4UgG8eP1CUYvp4vxoThlF0,https://api.spotify.com/v1/tracks/4UgG8eP1CUYvp4vxoThlF0,https://api.spotify.com/v1/audio-analysis/4UgG8eP1CUYvp4vxoThlF0,199000,3
